173
[(105, 9, 2), (109, 25, 2), (95, 38, 1), (100, 9, 0), (98, 27, 3), (88, 1, 1), (105, 26, 1), (121, 23, 0), (96, 13, 3), (121, 13, 2), (94, 25, 1), (85, 28, 0), (97, 17, 1), (121, 26, 3), (103, 34, 3), (88, 37, 3), (105, 36, 1), (96, 0, 3), (110, 0, 3), (89, 37, 1)]
600 40.0                     -38.893 -50 -50 0.0
95100 173.8 171.983                         172 170.52 0.9933333333333333
95600 173.8 171.977                         172 171.25 0.9966666666666667
96100 173.8 171.969                         172 170.15 0.9916666666666667
96600 173.8 171.895                         172 169.04 0.9866666666666667
97100 173.8 171.94033333333334                         172 167.93 0.9816666666666667
97600 173.8 171.966                         172 169.41 0.9883333333333333
98100 173.8 171.94966666666667                         172 168.3 0.9833333333333333
98600 173.8 171.94733333333335                         172 169.41 0.9883333333333333
99100 173.8 171.958                         173 168.67166666666665 0.985
99600 173.8 171.99666666666667                         173 170.15166666666667 0.9916666666666667
100100 173.8 171.98533333333333                         173 169.78166666666667 0.99
